Ranking,Name,Latitude,Longitude
1,พระบรมหาราชวัง และ วัดพระแก้ว,13.7507,100.4918
2,วัดโพธิ์ (วัดพระนอน),13.7466,100.4932
3,ICONSIAM,13.7262,100.5101
4,มหานคร สกายวอร์ค,13.7219,100.5303
5,เยาวราช,13.7415,100.508
6,ถนนข้าวสาร,13.7588,100.4973
7,ตลาดนัดรถไฟรัชดา,13.7668,100.5686
8,Asiatique,13.7045,100.5032
9,Sea Life Bangkok Ocean World,13.7461,100.535
10,บ้านเรือนไทย จิม ทอมป์สัน,13.7494,100.5282
11,ตลาดนัดจตุจักร,13.7995,100.5488
12,วัดอรุณราชวราราม,13.7437,100.4889
13,วัดสระเกศราชวรมหาวิหาร,13.7539,100.5066
14,วัดเบญจมบพิตร,13.7666,100.5141
15,บ้านศิลปิน คลองบางหลวง,13.7313,100.4633
16,ตลาดน้ำคลองลัดมะยม,13.7615,100.4155
17,หอศิลป์กรุงเทพ,13.7468,100.5302
18,โชคชัย4,13.8099,100.5963
19,ท่ามหาราช คอมมูนิตี้,13.7546,100.4889
20,ย่านเจริญกรุง บางรัก,13.7291,100.5158
21,พิพิธภัณฑสถานแห่งชาติพระนคร,13.7582,100.4918
22,มิวเซียมสยาม,13.7442,100.4942
23,พิพิธภัณฑ์วังสวนผักกาด,13.7568,100.5375
24,ช่างชุ่ย,13.7895,100.4708
25,Platinum,13.7503,100.5391
26,Siamparagon,13.7469,100.535
27,ซาฟารีเวิลด์,13.8655,100.7034
28,เสาชิงช้า,13.7518,100.5013
29,Terminal21,13.7379,100.5605
30,สวนรถไฟ,13.8131,100.5547
31,ล้ง1919,13.7345,100.5083
32,ตลาด อ.ต.ก.,13.7971,100.5475
33,ตลาดน้ำตลิ่งชัน,13.7756,100.4566
34,ตลาดน้ำขวัญเรียม,13.8007,100.7101
35,เมืองมายา หอภาพยนตร์,13.7989,100.303
36,ชมเฌย,13.8079,100.3492
37,ตลาดน้ำดอนหวาย,13.7708,100.2838
38,องค์พระปฐมเจดีย์,13.8197,100.0601
39,ตลาดน้ำลำพญา,13.9585,100.2033
40,เกราะเกร็ด,13.9113,100.4761
41,ตลาดน้ำวัดตะเคียน,13.828,100.4227
42,Thai Wake Park,14.0005,100.7324
43,Dream World,13.9878,100.6751
44,เมืองโบราณ Ancient Siam,13.5392,100.623
45,บางกระเจ้า,13.6973,100.5646
46,สถานตากอากาศบางปู,13.5173,100.6549
47,ฟาร์มจระเข้,13.572,100.5976
48,โครงการป่าในกรุง,13.6917,100.7031
49,สะพานภูมิพล,13.6756,100.5393
50,ตลาดระแหง100ปี,14.0416,100.4201
51,กระท่อมลุงจรณ์,14.0467,100.5313
52,บ้าน1000ไม้ คาเฟ่ แอนด์ ฟาร์ม,14.0658,100.5145
53,บ้านศาลาแดงเหนือ,14.0936,100.5455
54,พระราชวังสนามจันทร์,13.8189,100.0461
55,ตลาดน้ำบางคูเวียง,13.835,100.4263
56,ตูนนีย์ ทอย มิวเซียม,13.9348,100.5617
57,ตลาดริมคลองพ่อพันท้ายนรสิงห์,13.5324,100.3808
58,สะพานแดง,13.4908,100.3606
59,สวนน้ำพันท้ายนรสิงห์,13.5308,100.3752
60,พระกลางน้ำ,13.4866,100.3707
61,Buddy Oriental Riverside Pakkred,13.9284,100.5022
62,Ruanrongrong Resort,13.8704,100.4533
63,Reunrimnam Resort,13.8191,100.4692
64,Westgate Residence Hotel,13.8448,100.4143
65,Ruen Pruksa2 Parichart Boutique Resort,13.9338,100.4755
66,Dhabkwan Resort and Spa,13.8554,100.4854
67,Pak Ping Ing Tang Boutique Hotel,13.8589,100.5326
68,Peninsula Bangkok Hotel,13.723,100.5114
69,Millennium Hilton Hotel-Riverside,13.7284,100.5095
70,Mandarin Oriental Hotel,13.724,100.5143
71,Baiyoke Sky Hotel,13.7544,100.5403
72,The Westin Grande Sukhumvit Hotel,13.738,100.5595
73,The Landmark Hotel Bangkok,13.7411,100.5539
74,Dusit Thani Bangkok Hotel,13.7284,100.5376
75,Centara Grand at Central World Hotel,13.7472,100.5394
76,Banyan Tree Bangkok,13.7238,100.5398
77,Iebua at State Tower Hotel,13.7212,100.5172
78,Anantara Riverside Bangkok Resort,13.7045,100.492
79,Grand Hyatt Erawan Bangkok,13.7435,100.5405
80,Ariyasom Villa,13.7479,100.5516
81,SO Sofitel,13.7263,100.5423
82,The Okura Prestige,13.7426,100.5479
83,Chakrabongse Villas,13.7437,100.4931
84,Shanghai Mansion,13.7395,100.5111
85,Hotel Muse,13.7402,100.5434
86,W Hotel,13.722,100.5287
87,Shangri-La Hotel,13.7214,100.5138
88,St. Regis,13.7399,100.5402
89,The Siam,13.7814,100.5058
90,Siam Kempinski,13.7471,100.5338
91,Suhring,13.7108,100.5455
92,Gaa,13.7378,100.5423
93,Gaggan,13.7376,100.5422
94,Le Normandie,13.7239,100.5142
95,Bo.lan,13.7264,100.578
96,L'Atelier de Joel Robuchon,13.724,100.5286
97,Paste,13.7457,100.5407
98,Eat Me Restaurant,13.7255,100.5338
99,Le Du,13.7251,100.5293
100,Sorn,13.7231,100.5685
101,80/20,13.7311,100.5155
102,Nahm,13.7231,100.5388
103,Haoma,13.743,100.5679
104,Saawaan,13.7219,100.5374
105,Sushi Masato,13.7345,100.5661
106,Canvas,13.7289,100.5808
107,Sri Trat,13.7368,100.568
108,Upstairs at Mikkeller,13.7279,100.5885
109,Baan,13.7306,100.5455
110,Jua,13.7307,100.5149
111,Bunker,13.7232,100.5258
112,Mihara Tofuten,13.7214,100.5327
113,Appia,13.7368,100.567
114,Ginza Sushi Ichi,13.7439,100.5407
115,El Mercado,13.724,100.5611
116,Smokin' Pug,13.7354,100.5423
117,The Dining Room,13.7435,100.5405
118,Baannual,13.7633,100.5003
119,Supanniga,13.7231,100.5272
120,ll Fumo,13.7232,100.551
